N° Ola,INVENTORY_ID,ADDRESS_ID_TO,Seller,Holding,Cantidad
1,HKMH00030,NA-1-003-000-00-00,JRYMXLLCMX,JRY MX LLC,1
1,CBWS22139,NA-1-003-000-00-00,KEEPREALMX,KEEP REAL,6
1,OXVU35842,NA-1-003-000-00-00,YFDANCEMX1,YFDANCE,1
1,EBQA51502,NA-1-003-000-00-00,BESTSELLERMX2,BESTSELLER,4
1,ESKB11880,NA-1-003-000-00-00,ENERGYSISTEMMX,ENERGY SISTEM,1
1,SSGO63757,NA-1-003-000-00-00,JUREBECIAMX,Jurebecia,1
1,HXTD80675,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,MRUS76517,NA-1-003-000-00-00,LOSDOMINGOSMX,LOSDOMINGOS,1
1,JRBO33127,NA-1-003-000-00-00,MXYUNDUO,Yunduo,1
1,EDAQ15147,NA-1-003-000-00-00,ANNATOSANIMX,ANNA TOSANI,8
1,YALN62848,NA-1-003-000-00-00,TUTIENDAMX1,Tu Tienda,3
1,DCJF18718,NA-1-003-000-00-00,KDXFMX,KDXF,2
1,UUEW60148,NA-1-003-000-00-00,BESERMX1,Beser,1
1,DEHW27355,NA-1-003-000-00-00,MERCADOLIBRE ELECTRONICA_MX,Mercado Libre,7
1,BQYS39493,NA-1-003-000-00-00,MXYOMYM,YOMYM,2
1,DLBP52759,RI-0-001-000-00-00,TIENDA__OFICIAL,DISTRIBUIDOR CELULAR DE LA,1
1,OSCW02247,NA-1-003-000-00-00,MISSFOXMX1,MissFox,1
1,NJUJ58409,NA-1-003-000-00-00,MAXSHOWMX1,Max Show,3
1,JGTO67649,NA-1-003-000-00-00,MXBINZIMBEAUTY,BinzimBeauty,1
1,YWWR61511,NA-1-003-000-00-00,MXLUCKYSTARS,Luckystars,1
1,HKMH03389,NA-1-003-000-00-00,CITRUSMX1,CITRUS,2
1,LYKX26672,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,EIGD20123,NA-1-003-000-00-00,CANTONPOWERMX,Canton Power,2
1,DMTU53137,NA-1-003-000-00-00,UKENTIENDAOFICIALMX1,UKEN Tienda Oficial,8
1,TWQU49555,NA-1-003-000-00-00,ONEBYONEMX,ONE BY ONE,2
1,FRZB13797,NA-1-003-000-00-00,MXWORKPRO,Workpro,40
1,TPRQ57590,NA-1-003-000-00-00,HENZWORLDMX1,HenzWorld,1
1,PVSZ15737,NA-1-003-000-00-00,AOSIHUIMXMX,AOSIHUI MX,4
1,NDYJ09684,NA-1-003-000-00-00,PANYIJUNMX1,Pan yijun,3
1,ALJY28443,NA-1-003-000-00-00,MERCADOLIBRE ELECTRONICA_MX,Mercado Libre,11
1,KMGQ60239,NA-1-003-000-00-00,ISPORTEENSHOPMX,ISPORTEENSHOP,1
1,JBQS12611,NA-1-003-000-00-00,HIBOBISHOPPINGMX1,Hibobi Shopping,1
1,KZPH05923,NA-1-003-000-00-00,DUOLUTONGMX1,DUOLUTONG,1
1,XTNR42124,RI-0-001-000-00-00,PL MLM,Temakla MLM,5
1,WTEQ23033,NA-1-003-000-00-00,OKASMX,OKAS,1
1,EMNC12258,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,MTWT72486,NA-1-003-000-00-00,IDEALWAYMX1,idealway,2
1,FVTQ81963,NA-1-003-000-00-00,HXTECH.MX1,Hx tech.,2
