N° Ola,SKU,Cantidad Solicitada,COSTO UNITARIO,SUM de gmv total,Descripción
1,AUGJ51296,2,10.7,21.4,Bala Butter Toffees Pacote - Escolha O Sabor - Promoção
1,AUGJ53222,4,14.01,56.04,Kit C/ 3 Sutiã Conforto De Bojo Alça Especial Anatômico 6032
1,AUGJ56522,2,28.9,57.8,Forno De Bancada Elétrico Philco Pfe46b 46l Branco 220v
1,AUGJ60336,1,7.22,7.22,"Skechers,mens Sport M,54600xbkgy,(neg/gri),29"
1,AUGJ70790,1,15.67,15.67,Kit Mini Geleia Francesa St Dalfour 84g - Importada - França
1,AUGJ73020,1,37.27,37.27,Bolso Multifuncional Impermeable Y Antirrobo Para Mujer
1,AUGJ77111,4,26.93,107.72,Tênis Slip On Elástico Via Uno Preto 413033seavv 151905
1,AUGJ86402,1,18.22,18.22,Corrector De Postura Con Sensor Inteligente P/adolescentes
1,AUGJ88116,1,23.34,23.34,Kit Camiseta Black Skull E New Millen
1,AUGJ90883,1,26.61,26.61,Esmalte Risqué Efeitos Glitter As Mil Purpurinas 8ml
1,AUGJ93379,4,22.7,90.8,Fita Led Rgb 3528 Colorida 5m + Controle 300 Led Decoração
1,AWAZ00568,1,28.3,28.3,Tenis adidas Hombre Grand Negro
1,AWAZ01703,2,26.85,53.7,Tênis Feminino Olympikus Kiss 2/779 Preto
1,AWAZ05002,4,8.56,34.24,Blusa Vestido Manga Larga Para Mujer
1,AWAZ12393,19,17.92,340.48,Kit 4 Capas Para Almofada Decorativas 45x45 C/ Ziper
1,AWAZ18964,1,27.34,27.34,Línea Trenzada Cuerda Pesca Jof 500 Mts 10 22 30 40 60 Lb
1,AWAZ18972,2,38.53,77.06,Funda Estuche A Prueba De Golpes Para iPhone 12/12 Pro
1,AWAZ19714,6,21.67,130.02,Essencia Aromatizantes Via Aroma - 20 Opções
1,AWAZ22490,3,9.63,28.89,Gel Limpiador Espumoso Cerave Piel Mixta O Acné Grasa 473ml
1,AWAZ23392,1,7.2,7.2,Fast Gris Frost/gris Cope/verde Love
1,AWAZ25365,2,13.98,27.96,2 Toucas Nero Para Penteado Durar Mais Ao Dormir Anti Frizz
1,AWAZ41266,3,21.66,64.98,Boneca Bebê Menina Estilo Reborn Faz Xixi C/ Chupeta Newborn
1,AWAZ45941,1,13.1,13.1,Lector De Código De Barras Láser Usb Ean Upc Isbn Pos
1,AWAZ46547,2,19.82,39.64,Dragon Touch Y88x Pro 7 Pulgadas Tabletas Para Niños 2+16gb
1,AWAZ47042,2,8.92,17.84,Zapatillas New Balance Mroavsk2 Negro Running Hombre
1,AWAZ57812,1,14.75,14.75,Chuteira Topper Strike Ii Campo Azul/branco Tp01720003
1,AWAZ62064,1,23.3,23.3,Bsubseach Traje De Baño Una Pieza Traje De Surf Para Mujer
1,AWAZ76248,1,24.31,24.31,Magsafe - Carcasa Transparente Para iPhone 12
1,AWFA00727,8,9.22,73.76,Zapatilla Topper Atlas Kids Blanco / Gris
1,AWFA02528,2,28.82,57.64,Emagrecedor Seca Barriga 2 Hot 200g - Max Titanium
1,AWFA15357,1,4.79,4.79,Açúcar Refinado União 1kg
1,AWFA18938,6,8.51,51.06,Kit De Farol Led De 4lados Para Carro 9005 9006 H7 H11 6000k
1,AWFA24544,2,35.91,71.82,Suco De Pitanga Dafruta Tropical 950ml
1,AWFA28040,1,7.97,7.97,Sapato Salto Quadrado Beira Rio Nude 4249-100-13488-52531
1,AWFA37029,1,24.25,24.25,Funda Para Samsung Pompon Soporte Case + Cristal Templado
1,AWFA66897,1,12.96,12.96,Capa De Piscina 10 Em 1 Pvc 500 Proteção+termica 6x3 M
1,AWFA67957,3,19.58,58.74,Cinturón Casual De Estilo Militar Para Hombre
1,AWFA69098,3,36.44,109.32,Refletor Led 200w Holofote Bivolt Branco Frio Prova D Agua
1,AWFA71521,2,10.09,20.18,"Funda Para Samsung Galaxy A32 5g,soporte Anillo Giratorio"
1,AWFA76909,1,19.06,19.06,"Ventilador De Teto Venti-delta New Zeta Preto Com 3 Pás De Mdf, 96cm De Diâmetro 127v"
1,AXTL05485,1,18.51,18.51,Case Slim Hd Ssd Adaptador Usb 3.0 Sata3 Externo 6gbps
1,AXTL13212,9,30.15,271.35,Filtro De Ar Esportivo K&n Kn Duplo Fluxo Rg1001 Conico Univ
1,AXTL16512,1,39.35,39.35,Kit 10 Spot Super Led 3w Redondo Embutir Branco Frio Gesso
1,AXTL17118,1,5.16,5.16,Camiseta Manga Longa Menina Malwee Kids 1000024071
1,AXTL18889,2,34.78,69.56,Almotolia / Bisseta Para Diluicao De Shampoo/ Enfermagem
1,AXTL18940,1,9.38,9.38,Paçoca Amor Sings 18g C/30 Unidades - Arcor - A Original!
1,AXTL28628,3,7.09,21.27,Película De Vidro 3d iPhone 6 7 8 Plus X Xs Xr 11 Pro Max 12
1,AXTL29786,2,39.98,79.96,Mistura Para Pão De Batata Fleischmann 450g
1,AXTL30657,1,18.14,18.14,Kit De Herramientas Para Taladro De Uñas Para Principiante
1,AXTL32893,1,25.16,25.16,Funda Para Xiaomi Redmi Con Patrón Flores Parte Posterior
1,AXTL48374,2,25.07,50.14,Conversor Dac De Volumen Y Tono De Graves Y Sonido Usb De Po
1,AXTL52199,1,14.48,14.48,20 M Tira De Luces Led Rgb Navideñas Luz Led Para Fiesta
1,AXTL66953,3,15.39,46.17,Pedal De Expressão Nx-p Nektar Teclado Com Chave Polaridade
1,AXTL68232,1,27.15,27.15,Mocassim Masculino Mônaco Reserva Preto 55103
1,AXTL98362,1,6.33,6.33,Kit De Faros Focos Luces Hid Xenon D2s 8000k 35w
1,AYLY01393,9,22.3,200.7,Kit 10 Pares Meia Lupo Cano Médio Masculina Atacado Original
1,AYLY03111,2,39.16,78.32,Jack Audifono Flex Sony Xperia Z1 L39h C6902 C6903
1,AYLY15860,2,17.57,35.14,Lustre Sputnik Faces 6 Hastes. Modernidade P/ Sala De Estar!
1,AYLY16874,1,28.11,28.11,Webcam Usb Mini 1080p Camara De La Computadora
1,AYLY22490,1,24.08,24.08,Protetor De Fio 250 Ml Midori Profissional
1,AYLY24101,1,19.46,19.46,Sudadera De Hombre Araña: En La Spider-verso Hombres Chaquet
1,AYLY47515,4,24.72,98.88,Par Válvula Tubeless Par De Válvulas Bico Tubeless Mtb Speed
1,AYLY51277,1,35.32,35.32,Cable 2m Usb Tipo C 2.1a Carga Rapida Datos Rudo 1hora
1,AYLY58179,2,15.7,31.4,Kit Feminino 3 Regatas Alças Correntes Aishty 8714
1,AYLY68041,1,6.04,6.04,Jersey De Ciclismo Neenca Con 3 Bolsillos Traseros
1,AYLY83105,1,14.39,14.39,Capacete Escamoteável Masculino Feminino Peels Urban Oxidize
1,AYLY87771,4,30.34,121.36,Memoria Ram Hyperx De 8 Gb Hx316c10f/8 Fury
1,AYLY91279,1,8.94,8.94,"Cargador De Batería De Coche Completamente Automático, 12v,"
1,AZSY10233,1,19.83,19.83,Cerveja Patagonia Weisse Long Neck Garrafa 355ml
1,AZSY13692,2,10.23,20.46,Chinelo Feminino Logo Colcci Branco 1585700002
1,AZSY23986,1,14.94,14.94,2 Und. Aparador De Cutículas Com Empurrador Na Ponta
1,AZSY28491,1,12.3,12.3,Mini Processador 3 Laminas Inox Manual Alimentos Cozinha
1,AZSY34361,1,24.07,24.07,2pz Separador Rin 10mm 4/5x100x108x110x112x114.3x120 Univers
1,AZSY40750,1,30.88,30.88,Control Gamepad Bluetooth Wireless Joystick Mocute Ewtto
1,AZSY42148,1,16.31,16.31,Funda Samsung A10s A21s A31 A50 A51 A71 A11 M11 S10 Varios
1,AZSY42701,1,16.44,16.44,Papel Higiênico Neve Toque De Seda Leve 16 Pague 15 - 16 Rol
1,AZSY50689,1,16.24,16.24,Black Friday Bolsa Feminina +mochila+carteira E Lenço Brinde
1,AZSY54370,1,20.47,20.47,"Jeans, Only, Mujer, 15208250"
1,AZSY54406,4,8,32,Fone De Ouvido Bluetooth Samsung Galaxy Buds+ Sem Fio
1,AZSY58926,3,24.5,73.5,Audífonos Inalámbicos Bluetooth Impermeables Con Pantalla
1,AZSY68655,5,22.19,110.95,Panquequeira Tapioqueira Tramontina Antiaderente 23 Cm
1,AZSY71610,3,12.38,37.14,Cola Para Unhas Postiças Com Pincel Porcelana Gel Manicure
1,AZSY72821,1,25.32,25.32,Memumi Hybrid Funda Traslúcido Mate Para iPhone 13 Pro
1,AZSY75040,1,17.66,17.66,Serie Decoración Halloween Luz Led Calabazas Dia Muertos 3mt
1,AZSY76501,1,24.2,24.2,"Kit De Almohadillas De Pulido Para Auto, 22 Piezas"
1,AZSY81971,1,4.1,4.1,Tommy Hilfiger Tenis Para Hombre Color Blanco Thm0314
1,AZSY92261,3,5.15,15.45,Tenis Converse Unisex Negro M9160c Básico Clásico
1,AZVM04694,1,27.91,27.91,Tênis Masculino Recortes Colcci Alvejado 8050100863
1,AZVM23787,1,9.43,9.43,Tiras De Luz Led Exterior 2m De Control Remoto 5050 Rgb
1,AZVM34020,1,35.34,35.34,Tablet Samsung Galaxy A7 Lite Grafite 4g 32gb
1,AZVM35786,1,11.7,11.7,Lâmpada Eletrônica 3u 25w 127v Branco Frio 6400k Kian
1,AZVM36532,1,9.07,9.07,Conjunto Kids Menina Casaco De Plush + Legging Floral Elian
1,AZVM42391,1,13.73,13.73,Tenis Reebok Niñas Royal Complete Cln 2.0
1,AZVM53074,2,14.02,28.04,Bolinhas De Madeira 21mm - 100 Unidades
1,AZVM65223,1,34.16,34.16,100% Stevia Líquida Villa Santerra - Apto Para Diabéticos
1,AZVM69964,2,29.76,59.52,Farol Astra 2011 2010 2009 2008 07 06 05 04 03 Duplo Cromado
